dataset,family,method_name,cal_mpiw,cal_picp,q_hat
boston,Quantile,CQR,26.931161880493164,0.9108910891089109,-0.0899505615234375
boston,Quantile,CQR-r,26.94228172302246,0.9108910891089109,-0.003112831385806203
boston,Quantile,Pinball Loss,27.11106300354004,0.9108910891089109,
boston,Quantile,UACQR-P,23.534620868429748,0.9108910891089109,8.0
boston,Quantile,UACQR-S,25.75306013869844,0.9108910891089109,-0.6053236169064982
boston,Tubeloss,TCQR,25.081092834472656,0.9108910891089109,0.23602581024169922
boston,Tubeloss,TCQR-r,25.078739166259766,0.9108910891089109,0.0095432223752141
boston,Tubeloss,Tube Loss,24.609041213989258,0.900990099009901,
boston,Tubeloss,UATCQR-P,27.92843138227928,0.9108910891089109,36.0
boston,Tubeloss,UATCQR-S,26.376777399232832,0.9108910891089109,1.2734398278815526
concrete,Quantile,CQR,60.96174240112305,0.9077669902912622,-1.0022478103637695
concrete,Quantile,CQR-r,61.04340362548828,0.9077669902912622,-0.015268794260919094
concrete,Quantile,Pinball Loss,62.96624755859375,0.9368932038834952,
concrete,Quantile,UACQR-P,57.26829070272873,0.9077669902912622,30.0
concrete,Quantile,UACQR-S,57.87675053119852,0.9077669902912622,-0.15231973715541391
concrete,Tubeloss,TCQR,43.27263259887695,0.9077669902912622,0.059619903564453125
concrete,Tubeloss,TCQR-r,43.26366424560547,0.9077669902912622,0.001277688890695572
concrete,Tubeloss,Tube Loss,43.15339660644531,0.9029126213592233,
concrete,Tubeloss,UATCQR-P,51.88763040844814,0.912621359223301,27.0
concrete,Tubeloss,UATCQR-S,43.21632156220047,0.9077669902912622,0.010383246174221641
energy,Quantile,CQR,18.639333724975586,0.9090909090909091,0.2837638854980469
energy,Quantile,CQR-r,18.552629470825195,0.9090909090909091,0.013303100131452084
energy,Quantile,Pinball Loss,18.071809768676758,0.8636363636363636,
energy,Quantile,UACQR-P,22.544309465780188,0.9090909090909091,20.0
energy,Quantile,UACQR-S,19.819095106876475,0.9090909090909091,0.3665561097807785
energy,Tubeloss,TCQR,25.50417137145996,0.9090909090909091,0.008914947509765625
energy,Tubeloss,TCQR-r,25.5040283203125,0.9090909090909091,0.0003469569201115519
energy,Tubeloss,Tube Loss,25.486339569091797,0.9025974025974026,
energy,Tubeloss,UATCQR-P,25.817745621574467,0.9090909090909091,23.0
energy,Tubeloss,UATCQR-S,25.49844531177632,0.9090909090909091,0.011721459391121744
power,Quantile,CQR,31.824005126953125,0.9007314524555904,0.30718994140625
power,Quantile,CQR-r,31.916719436645508,0.9007314524555904,0.011328146792948246
power,Quantile,Pinball Loss,31.209625244140625,0.8887147335423198,
power,Quantile,UACQR-P,36.71639372742401,0.9012539184952978,16.0
power,Quantile,UACQR-S,32.69235000805875,0.9007314524555904,0.2298759293990632
power,Tubeloss,TCQR,18.04784393310547,0.9007314524555904,-0.00115966796875
power,Tubeloss,TCQR-r,18.048187255859375,0.9007314524555904,-5.474439240060747e-05
power,Tubeloss,Tube Loss,18.0501651763916,0.9012539184952978,
power,Tubeloss,UATCQR-P,22.389730674675153,0.9017763845350052,21.0
power,Tubeloss,UATCQR-S,18.041216380165995,0.9007314524555904,-0.0019105682357086105
protein,Quantile,CQR,16.546857833862305,0.9001749398644217,-0.020705759525299072
protein,Quantile,CQR-r,16.551191329956055,0.9001749398644217,-0.0011176355183124542
protein,Quantile,Pinball Loss,16.588272094726562,0.9027990378307457,
protein,Quantile,UACQR-P,16.681016106738543,0.9009403017712662,18.0
protein,Quantile,UACQR-S,16.527879950185092,0.9001749398644217,-0.06551919022917721
protein,Tubeloss,TCQR,17.1838436126709,0.9001749398644217,-0.012598752975463867
protein,Tubeloss,TCQR-r,17.182661056518555,0.9001749398644217,-0.0007664626464247704
protein,Tubeloss,Tube Loss,17.20903968811035,0.9025803630002187,
protein,Tubeloss,UATCQR-P,17.302734479517742,0.9006122895254756,15.0
protein,Tubeloss,UATCQR-S,17.176226384052704,0.9001749398644217,-0.1477730731887245
