dataset,tube_method,tube_cal_picp,tube_cal_mpiw,tube_test_picp,tube_test_mpiw,tube_q_hat,quantile_method,quantile_cal_picp,quantile_cal_mpiw,quantile_test_picp,quantile_test_mpiw,quantile_q_hat
boston,Tube Loss,0.900990099009901,24.609041213989258,0.8431372549019608,24.3802433013916,,Pinball Loss,0.9108910891089109,27.11106300354004,0.8921568627450981,27.70828628540039,
boston,TCQR,0.9108910891089109,25.081092834472656,0.8725490196078431,24.852296829223633,0.23602581024169922,CQR,0.9108910891089109,26.931161880493164,0.8823529411764706,27.528385162353516,-0.0899505615234375
boston,TCQR-r,0.9108910891089109,25.078739166259766,0.8725490196078431,24.845579147338867,0.0095432223752141,CQR-r,0.9108910891089109,26.94228172302246,0.8823529411764706,27.535785675048828,-0.003112831385806203
boston,UATCQR-S,0.9108910891089109,26.376777399232832,0.8823529411764706,26.19071321693228,1.2734398278815526,UACQR-S,0.9108910891089109,25.75306013869844,0.8627450980392157,26.368593244957566,-0.6053236169064982
boston,UATCQR-P,0.9108910891089109,27.92843138227928,0.8529411764705882,27.75686970539057,36.0,UACQR-P,0.9108910891089109,23.534620868429748,0.8235294117647058,24.105331364628714,8.0
concrete,Tube Loss,0.9029126213592233,43.15339660644531,0.883495145631068,42.90377426147461,,Pinball Loss,0.9368932038834952,62.96624755859375,0.9466019417475728,63.55210876464844,
concrete,TCQR,0.9077669902912622,43.27263259887695,0.883495145631068,43.02301025390625,0.059619903564453125,CQR,0.9077669902912622,60.96174240112305,0.9271844660194175,61.54761505126953,-1.0022478103637695
concrete,TCQR-r,0.9077669902912622,43.26366424560547,0.883495145631068,43.013404846191406,0.001277688890695572,CQR-r,0.9077669902912622,61.04340362548828,0.9271844660194175,61.611385345458984,-0.015268794260919094
concrete,UATCQR-S,0.9077669902912622,43.21632156220047,0.883495145631068,42.96539351339775,0.010383246174221641,UACQR-S,0.9077669902912622,57.87675053119852,0.9271844660194175,58.42273238474761,-0.15231973715541391
concrete,UATCQR-P,0.912621359223301,51.88763040844814,0.8980582524271845,51.65874513068501,27.0,UACQR-P,0.9077669902912622,57.26829070272873,0.9174757281553398,57.92905207905226,30.0
energy,Tube Loss,0.9025974025974026,25.486339569091797,0.948051948051948,25.56073760986328,,Pinball Loss,0.8636363636363636,18.071809768676758,0.922077922077922,18.277109146118164,
energy,TCQR,0.9090909090909091,25.50417137145996,0.948051948051948,25.578567504882812,0.008914947509765625,CQR,0.9090909090909091,18.639333724975586,0.9545454545454546,18.844635009765625,0.2837638854980469
energy,TCQR-r,0.9090909090909091,25.5040283203125,0.948051948051948,25.57847785949707,0.0003469569201115519,CQR-r,0.9090909090909091,18.552629470825195,0.948051948051948,18.76339340209961,0.013303100131452084
energy,UATCQR-S,0.9090909090909091,25.49844531177632,0.948051948051948,25.57279871084467,0.011721459391121744,UACQR-S,0.9090909090909091,19.819095106876475,0.9545454545454546,19.960164752027282,0.3665561097807785
energy,UATCQR-P,0.9090909090909091,25.817745621574467,0.9285714285714286,25.89280974436181,23.0,UACQR-P,0.9090909090909091,22.544309465780188,0.9415584415584416,22.543808127614962,20.0
protein,Tube Loss,0.9025803630002187,17.20903968811035,0.9002842772796851,17.202892303466797,,Pinball Loss,0.9027990378307457,16.588272094726562,0.8986442160507325,16.572460174560547,
protein,TCQR,0.9001749398644217,17.1838436126709,0.8976601793133611,17.177698135375977,-0.012598752975463867,CQR,0.9001749398644217,16.546857833862305,0.8945987316859829,16.531047821044922,-0.020705759525299072
protein,TCQR-r,0.9001749398644217,17.182661056518555,0.8975508418980975,17.176523208618164,-0.0007664626464247704,CQR-r,0.9001749398644217,16.551191329956055,0.8951454187623005,16.535417556762695,-0.0011176355183124542
protein,UATCQR-S,0.9001749398644217,17.176226384052704,0.8975508418980975,17.170102229168123,-0.1477730731887245,UACQR-S,0.9001749398644217,16.527879950185092,0.8961294554996719,16.512094576232137,-0.06551919022917721
protein,UATCQR-P,0.9006122895254756,17.302734479517742,0.8951454187623005,17.296385451924355,15.0,UACQR-P,0.9009403017712662,16.681016106738543,0.8964574677454625,16.66469156473693,18.0
wine,Tube Loss,0.903125,2.121518135070801,0.88125,2.1353440284729004,,Pinball Loss,0.91875,2.4802958965301514,0.9,2.432053804397583,
wine,TCQR,0.903125,2.1208019256591797,0.88125,2.1346275806427,-0.0003581047058105469,CQR,0.903125,2.2602250576019287,0.8625,2.2119832038879395,-0.11003541946411133
wine,TCQR-r,0.903125,2.1207947731018066,0.88125,2.1346161365509033,-0.0001704334863461554,CQR-r,0.903125,2.2529098987579346,0.8625,2.2090904712677,-0.045838482677936554
